,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
44,Jk1Jq4fTX,混沌与概率1997,男,福建,2330,850144,混沌与概率1997:【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:15,微博 weibo.com,167,19,28,无,"国药,中国,高风险,生物,感染",
45,Jk1Kom3rW,界面新闻,男,北京,834,10851669,界面新闻:【#数十万新冠灭活疫苗接种者目前零感染#】据《科技日报》报道，国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 原图 ,无,2020/9/10 22:17,微博 weibo.com,48,22,20,无,"国药,高风险,中国,感染,生物",
46,Jk1Kllt18,丰铝vv,男,上海,276,83377,丰铝vv:【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报） ,无,2020/9/10 22:17,HUAWEI Mate 30 5G,8,7,2,无,"国药,中国,高风险,生物,感染",
47,Jk1KPzjZR,和远898,男,广东,2198,14426,和远898:国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:18,微博 weibo.com,2,0,0,无,"高风险,国药,使用,实现,生物",
48,Jk1KW3n2D,每日经济新闻,男,上海,728,47204846,每日经济新闻:【#数十万新冠灭活疫苗接种者零感染#】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报；LX） 原图 ,无,2020/9/10 22:18,搜狗高速浏览器,186,68,34,无,"国药,高风险,生物,中国,感染",
49,Jk1L5wIgx,善金翘桂,女,湖北,84,532609,善金翘桂:发布了头条文章：《央企给力！中国新冠灭活疫苗临床试验（Ⅲ期）再添三国》 央企给力！中国新冠灭活疫苗临床试验（Ⅲ期）再添三国 ,无,2020/9/10 22:19,微博 weibo.com,2,0,0,无,"活疫苗,文章,头条,发布,中国",
50,Jk1Ltoq5X,老铁论缠,男,广东,3778,458021,老铁论缠:国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:20,iPhone X,2,0,1,无,"国药,高风险,实现,使用,生物",
51,Jk1Lt6PFg,狙击手伍德,男,天津,353,172888,狙击手伍德:#美股#【美股盘前消息速报】①美国股指期货小幅上涨，截至发稿，道指期货涨0.18%，标普500期指涨0.31%，纳指期货涨0.84%；②美国9月5日当周初请失业金人数为88.4万人，前值88.1万人；③欧洲央行维持三大关键利率不变；④美机构预测：4项获美支持的新冠疫苗末期试验可能失败；⑤百胜中国香港上市首日跌破发行价，收跌5.29%；⑥阿斯利康新冠疫苗并非首次出现严重不良事件，关联性待考；⑦路威酩轩：计划在特拉华州对蒂芙尼提起诉讼，收购的必要条件没有完成；⑧特斯拉盘前涨幅扩大至5%，周三股价反弹，收涨近11%。 ,无,2020/9/10 22:20,新浪财经,1,0,0,无,"疫苗,新冠,收购,不变,美国",
52,Jk1Msk5kb,巴西南美侨报,男,海外,205,55425,巴西南美侨报:【圣保罗州长：中国疫苗测试结果良好 98%老年人产生免疫应答】9日，圣保罗州长若昂·多利亚和布坦坦研究所长迪马斯·科瓦斯公布了中国科兴公司研发新冠疫苗的初步测试结果，称在对60岁以上志愿者的临床测试中，98%的老年人产生了免疫反应。【今日拉美】 原图 ,无,2020/9/10 22:22,今日拉美,9,0,0,无,"测试,疫苗,中国,圣保罗州,老年人",
53,Jk1MMpCYi,全景网,男,广东,852,2139809,全景网:【#数十万新冠灭活疫苗接种者目前零感染#】据科技日报10日消息，国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（证券时报网） 原图 ,无,2020/9/10 22:23,搜狗高速浏览器,27,13,6,无,"国药,高风险,中国,感染,生物",
54,Jk1NguI3U,红股君,男,北京,338,94932,红股君:这是一个令人振奋的消息【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。#A股# #疫苗# ,无,2020/9/10 22:24,微博 weibo.com,1,0,1,无,"国药,中国,感染,生物,高风险",
55,Jk1OOxSwl,邢瑞耘,女,浙江,459,2611,邢瑞耘:新冠疫苗疫苗曙光已现，同时，寻找并生产出更有效的药品仍是各个国家在攻关的方向。中国生物重点展出的“静脉COVID-19人免疫球蛋白（pH4）”，被其称为“全球唯一治疗新冠肺炎特效药”。 “这个真的是‘神药’，重症患者三天就能出ICU。”中国生物工作人员对参观者介绍，他对《华夏时报》记者表示，该款人免疫球蛋白相当于新冠治疗药品中的“特种部队”，能够直接中和病毒，现在还未量产，因为它来自康复者的血浆，原料有限，所以非常珍贵。据中国生物介绍，这款新冠肺炎人免疫球蛋白在4月份成功制备，是目前国内外新冠肺炎感染最为特异和有效的治疗药物，同时也可用于一线医护人员的免疫预防。在疫情防控湖北保卫战、武汉保卫战，以及北京新发地、新疆乌鲁木齐等地突发疫情救治危重患者过程中均发挥了压舱石的作用。 科技部重点研发计划项目负责人、国药集团中国生物董事长杨晓明表示，此项药物原料与机理同新冠肺炎康复者恢复期血浆治疗一致。不同的是，特异免疫球蛋白纯度更高、工艺复杂、研发难度大，较康复者恢复期血浆治疗应用更加广泛，起效更快，可供重症患者和高危人群免费应急使用。 ,无,2020/9/10 22:28,微博 weibo.com,5,0,0,无,"新冠,中国,治疗,生物,患者",
56,Jk1PnFqZa,Ruptly国际新闻视频通讯社,女,其他,154,823084,Ruptly国际新闻视频通讯社:【#中国疫苗开始在秘鲁进行3期试验# 】中国实验室国药控股开发的新冠疫苗的3期试验于本周三在秘鲁利马开始。根据当地媒体的报道，已经有3000人注册成为该疫苗的临床试验的一部分，该疫苗由秘鲁卡亚塔诺埃雷迪亚大学（UPCH）进行管理。目前秘鲁确诊了702776例，死亡30236例。 Ruptly国际新闻视频通讯社的微博视频 ,无,2020/9/10 22:29,微博视频,31,4,2,无,"秘鲁,疫苗,开始,中国,进行",
57,Jk1QWljEM,邢瑞耘,女,浙江,459,2611,邢瑞耘:【数十万新冠灭活疫苗接种者目前零感染】 格隆汇9月10日丨国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:33,微博 weibo.com,3,0,0,无,"高风险,国药,生物,中国,接种",
58,Jk1Tmvb2f,小妖看盘,女,其他,204,88374,小妖看盘:【国药集团：数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:39,iPhone 11,236,4,32,无,"国药,中国,高风险,生物,集团",
59,Jk1XW6aCF,交通954,男,海南,284,42456,交通954:【#数十万新冠灭活疫苗接种者零感染#】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报；LX） ,无,2020/9/10 22:50,微博 weibo.com,1,0,0,无,"国药,高风险,生物,中国,感染",
60,Jk21rmLLd,逆苍穹投资学,男,四川,559,7625,逆苍穹投资学:#数十万新冠灭活疫苗接种者目前零感染#国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。国药集团这么厉害，中国疫苗大有可为！#财经##股票# [组图共3张] 原图 ,无,2020/9/10 22:59,微博 weibo.com,1,0,1,无,"国药,中国,感染,集团,生物",
61,Jk240lgr6,莲子豆豆,男,湖北,1943,317066,莲子豆豆:#兴趣话题词# #国药集团数十万新冠灭活疫苗接种者目前零感染#国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 23:05,微博 weibo.com,4,1,6,无,"国药,中国,高风险,生物,感染",
62,Jk24gx0PL,每日经济新闻,男,上海,728,47204838,每日经济新闻:#每经整点播#【每经23点丨国药集团：数十万新冠灭活疫苗接种者目前零感染；脸书将欧洲用户数据传给美政府，或面临191亿罚款】1、国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。2、脸书全球事务和通信副总裁克莱格指出，DPC已开始对脸书在欧盟美国进行的数据传输展开调查，并建议在实践中不能将SCC用于欧美数据传输。如果不能将SCC用作传输数据的法律依据，那么脸书将不得不取消其收集的欧洲用户大部分数据。DPC可能对脸书处以其最高年收入4％的罚款，或者，如果不遵守禁令，将罚款28亿美元（约合人民币191.4亿元）。 ,无,2020/9/10 23:06,微博 weibo.com,50,20,7,无,"脸书,国药,欧洲,不能,罚款",
63,Jk25T4AAU,正义南康,男,江西,1236,31682,正义南康:#每经整点播#【每经23点丨国药集团：数十万新冠灭活疫苗接种者目前零感染；脸书将欧洲用户数据传给美政府，或面临191亿罚款】1、国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。2、脸书全球事务和通信副总裁克莱格指出，DPC已开始对脸书在欧盟美国进行的数据传输展开调查，并建议在实践中不能将SCC用于欧美数据传输。如果不能将SCC用作传输数据的法律依据，那么脸书将不得不取消其收集的欧洲用户大部分数据。DPC可能对脸书处以其最高年收入4％的罚款，或者，如果不遵守禁令，将罚款28亿美元（约合人民币191.4亿元）。 ,无,2020/9/10 23:10,微博国际版,8,1,10,无,"脸书,国药,欧洲,不能,罚款",
