















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit
尿路感染,氧氟沙星,急性,疗效,500mg,1245,不良反应,社区,发作,方案











海盆,站位,张裂,南海,钻探,盆地,基底,IODP,个次,建议书
ka,BP,冰期,表层,冬季,900,24,降温,气候,旋回














isochroman,dihydroxy,methylisochroman,isolated,water,soluble,fraction,Musa,sapientum,structure
3S,Oxo,12,dimethoxy,hydroxy,methylbenz,indoline,benzoxindole,alkaloid,alkaloids








Uplift,Lower,oil,reflectance,profiles,Paleozoic,vitrinite,Tazhong,overmature,eastern
超压,地层,充注,天然气,孔隙,增压,压力,流体,储层,演化
烃源岩,层系,烃源,龙马,层位,龙潭,向斜,海相,石柱,TOC
油气藏,深层,盐层,油气,圈闭,洼陷,渤南,烃源岩,街组,及膏

特征,车莫古,隆起,构造,侏罗系,油气,烃源岩,原油,演化,白垩
oils,source,study,crude,Cretaceous,derived,coal,Jurassic,composition,characteristics


















胁迫,春小麦,水分,灌溉,盐分,减产,耗水,咸水,利用效率,轻度
农田,黄淮海平原,水资源,途径,地区,机理,理论,水分,缓解,耗水量
地下水,大兴区,含量,水质,浅层,污染,氨氮,面源,工业废水,污染源


MC,太湖,水样,2008,LR,ELISA,法对,检出,河网,嘉兴















水稻,土氮,Mghm,密度,变异,土壤,各亚类,储量,循环,空间


栅格,土壤,面积,类型,矢量图,km2,最小,矢量,变小,分类





热泵,干燥,太阳能,水分,粮食,翻仓机,15,1.5%,COP,5.0





生态,而少,建筑,越来越,可再生,引言,迎合,无需,太阳能,优点
热泵,干燥,太阳能,水分,粮食,翻仓机,15,1.5%,COP,5.0

下颌骨,重建,缺损,节段,个体化,修复,支架,移植,托槽,松质骨

对照组,口腔,间隙,下颌前突,0.05,功能,正畸,正颌,治疗,术后





芦荟,植株,基因,抗性,转基因,再生,OsDREB,DREB,基因组,电导率
SDC,硫化,Ni,热力学,5%,H2S,N2,XRD,产物,阳极
PAHs,农田,土壤,区域,污染,洪泽湖,质量,因子,中多环,641
植株,转基因,低温,芦荟,抗性,基因,库拉索,TaDREB,3.0,PCR
海藻,10,芦荟,年生,凝胶,匀浆,库拉索,合成酶,5g,基因
SO2,脱硫,减排,烟气,硫含量,炼化,燃料,自备,电厂,催化剂
AP,多糖,IR,含量,凝胶,甘露,中性,鉴定,测定,检测


网络,集群,区域,社会,织网,企业,递进,网络化,转变,产业
知识,转移,联盟,基本模式,战略,深入分析,研究,四种,问题,本文
航空工业,知识,创新能力,行业,自主,提升,交流平台,产业,知识库,综合国力
合作,供应链,利润,博弈,分配机制,零售商,制造商,条件,弹性,分配

分布式,接入,电源,配电网,并网,kV,依据,偏差,电压,给出
安全,概率,评估,输电,系统,模型,动态,割集,应用,计算

运行,仿真,发电机,实时,模式,预测,电网,基于,针对,风速
直流,功率,波长,系统,混联,换相,暂态,输电,闭锁,稳定性
辐照,预测,序列,EMD,ELM,逐时,神经网络,预测值,信号,分解
风电场,不确定性,出力,发电机,风力,风速,稳态,区间,算法,运行
微源,互动,Paa,家庭,网用,平台,管理系统,用能,电力公司,用电
反射率,气溶胶,水库,光谱,反演,MODIS,尺度,粒子,大气,水面
样方,遥感,种植,影像,分类,GPS,估测,作物,面积,地面

沙尘,覆盖,民勤,浓度,土地,起沙,更新,模式,2005,25
额济纳旗,NDVI,右旗,西部,地区,植被指数,中部,1982,2003,东部

降水,100m,冰川,流域,气温,径流,消融,2009,10,HYCYMODEL














自由基,氧化,测定,抑制,脂质,测定方法,底物,抗氧化剂,抗氧化,方法
脂质,DNA,过氧化,抗氧化剂,自由基,生物体,损伤,引发,疾病,研究进展

测量,排气,稀释,油耗,系统,流量,自动测试,调节,流量计,开式

中脂质,氧化,乳状液,食品,体系,机理,脂质,油滴,抗氧化剂,乳化


水循环,水资源量,水土保持,水文,增加,流域,汾河,地表水,水资源,措施
节水型,社会,建设,我国,资源节约型,环境友好,提炼,破解,问题,试点
生态系统,农田,稳定性,评价,系统,模型,动态,类共,19,为例
流域,降雨,方法,插值,降雨量,站点,尺度,模拟,采用,时空
补偿,生态,南水北调,客体,西线,以期,借鉴,一期,五大,要素

景观,梯度,流域,格局,因子,样带,GDP,DCCA,视窗,两条
节水型,模式,社会,建设,基层,CRL,区域,我国,基本,基本特征













焊接,焊缝,电流,影响,变化,对焊,弧焊,观察,焊件,Q235B
摩擦,制动器,制动,设计,指标,机械,大型,安全,空间,实验台

















sediments,aragonite,low,lacustrine,lake,water,mineral,monohydrocalcite,Tibetan,Plateau







































Mit,心肌,0.01,OMT,剂量,活性,MDA,SOD,GSH,PX
NF,大鼠,心肌,苦参碱,p65,氧化,mRNA,TNF,IL,表达












凋落,淋滤,韶山,pH,穿透,阳离子,冠层,森林,物层,Ca2






污染,德兴,重金属,程度,评价,GIS,Hg,Cd,Cr,Zn

不确定性,地下水,污染,评价,风险,随机,分析,模糊,基于,方法
污染,德兴,重金属,程度,评价,因子分析,区均,乐安,沿岸地区,地区




























sl,AU,范畴,代数,构造,用弦图,Lusztig,量子群,Karoubi,Grothendieck





catalyst,IR,reaction,methanol,regeneration,NH3,coke,MTO,deactivation,method
tautomerization,H2O,encapsulated,B3LYP,31G,process,single,barrier,method,free
13,spectra,DPP,UV,nm,diphenylpentacene,pentacenequinone,XRD,visible,fluorescence

基因簇,耐药,万古霉素,测序,球菌,序列,vanM,基因,临床,16S
分离,窄食,单胞菌,耐药,麦芽,头孢哌酮,抗菌,2010,甲氧苄,舒巴坦
qnrA,耐药,喹诺酮,杆菌,基因,环丙沙星,aac,Ib,cr,耐药性
氧氟沙星,PK,PD,500mg,单胞菌,肺炎,链球菌,MIC,克雷伯,参数





耐药,肠杆菌属,细菌,12,2007,1231,0.9%,头孢,临床,分离










故障,发动机,航空,仿真,振动,气路,飞机,故障诊断,安全,人员伤亡
预测,汽轮机,幅值,振动,灰色,6h,后验,法在,中后验,关联度
保安,汽轮机,系统,大型,故障,事故,汽阀,超速,停机,分析方法

轴承,故障,信号,机组,固有,风电,分量,方法,平稳,调心








SAP,DCQD,chrysophanol,rheochrysidin,control,magnolol,hesperidin,naringin,pharmacokinetics,components
K562,细胞,蛋白,海生,bcl,bax,表达,凋亡,下调,对照组



single,molecule,detection,technique,developed,combination,channel,poly,dimethylsiloxane,glass







































性状,116,12,假茎,单株,数量,种质,相关性,分葱,显著
保持系,含量,可溶性,花蕾,IAA,GA3,ZR,ABA,不育,COD

















电晕,导线,海拔,起始,GB,电压,格尔木,校正,输电,光子
电晕,双回,损耗,笼内,导线,000kV,500kV,塔型,LGJ,630


电晕,硅橡胶,针板,水性,电极,丧失,系统,结果表明,搭建,电场
fg,PCDD,average,Fs,TEQ,risk,Tianjin,PCBs,sampling,spatial



























delay,criteria,dependent,exponential,stability,type,independent,rate,existing,paper














100,citrate,Pt,surface,study,shape,controlled,synthesis,nanomaterials,interaction















membrane,asymmetric,membranes,symmetric,oxygen,configuration,thin,dense,layer,study




















DNA,氟尿嘧啶,ds,G4,苯磺酰类,链体,伏安,电极,活性,取代






























PPA,MA,引发,共聚物,羟基,反应,浓度,参数,碘酸,丙烯酸甲酯

















缅树,Cytb,禄劝,基因,序列,遗传,地区,皮翼目,30,只中
缅树,消化道,冬季,物重,长度,重量,夏季,小肠,自然环境,食物
姬鼠,齐氏,种数,物种,样方,体表,增加,寄生,10,只时
00,代谢率,失水,11,O2,节律,体温,蒸发,缅树,13
UCP2,氨基酸,序列,蛋白,缅树,偶联,线粒体,特征,结构域,耦联
喂食,物重,禁食,大绒鼠,消化道,12,内容,对照组,48,盲肠
瘦素,大绒鼠,RMR,NST,驯化,血清,摄入,体重,浓度,含量
姬鼠,大绒鼠,高山,驯化,呼吸,对照组,肝脏,磷氧比,产热,状态





















































0.01,metastasis,VEGF,expression,patients,integrin,mRNA,invasion,positive,MVD















bimaterials,oscillating,singularity,transversely,isotropic,singular,characteristics,stress,electric,displacement






湿地,生态,研究,环境效应,调控,社会,系统,发展,协调,973










machining,symmetrical,efficiency,surface,paper,proposes,method,SM,collision,avoidance

















































电动车,控制器,驱动,调速,四轮,PIC,CPLD,控制策略,闭环,进行



feed,supplement,regime,phase,sea,growth,cucumbers,stocking,densities,regimes
sea,cucumber,growth,individual,variation,differences,individuals,body,weight,food

common,cell,immunophenotypic,leukemia,profiles,patterns,Immunophenotype,critical,diagnosing,acute


























本文,数据,变量,基于,详细,消费者,dimensional,binary,response,Mixture
















system,feedback,approach,Eigenstructure,assignment,proportional,derivative,controller,class,dynamic








































atmospheric,Olympic,Games,Beijing,SO2,PM2.5,Atmospheric,quality,pollution,concentrations


























crystallization,heated,temperature,fatigue,occurred,sample,heating,cycles,thermal,behavior











































sludge,DW,PA,contents,samples,limit,46,China,ranged,analyzed













轴向,单向,共振,非线性,法对,振动,方程,方程组,离散,幅频特性
滚筒,输送机,载荷,非线性,动态,有限元,带式,关键部件,加载,映射
















































Coxian,generalized,Erlang,distributions,representations,nonlinear,program,computing,minimal,triangular



















































反应,硝基,氨基,FOX,叠氮,含能,烯胺,亲核,亲电,酰基
structure,title,compound,Crystal,12,1H,benzoimidazol,yl,3H,triazole
黄烷醇,DPPH,ABTS,总酚,清除率,酚类,含量,沉淀,苹果,浸提
苹果酒,自由基,酚酸,雪儿,抗氧化,抑制作用,羟基,苹果,测定,含量
tca,配合,bpy,双齿,荧光,性质,结构,测定,螯合,水热法
植物蛋白,理化,营养价值,文中,保健,廉价,展望,现状,蛋白质,营养
比热容,DAT,PA,爆速,化合物,热力学,三唑,爆压,353K,298.15
原生质,再生,预处理,菌体,果胶酶,氨苄,菌龄,ZH,0.6,1.2
酚酸,抗氧化,原儿茶酸,没食子酸,阿魏酸,草酸,咖啡,分子,极性,溶剂
果胶酶,ZH,1%,50,最适,发酵,氦氖,氮源,桔皮,2%

食物,黑腹滨,贡献,鹬类,组成,同位素,东滩,底栖,崇明,季节
鸟类学,鸟类,研究,1991,2010,论文,领域,濒危,发表,数量
鸟类,乔木林,生境,常绿,群落,物种,和灌丛,两种,密度,苗圃
食物,鹬类,大滨,停歇,东滩,2009,粪便,觅食,频次,崇明

































































controller,proposed,uncertainty,factors,tracking,bounded,stability,error,deal,robotic



评价,物元,交通,火车站,模型,影响,特征,指标,分析模型,客站

particle,swarm,PSO,graph,coloring,modifled,optimization,algorithm,disturbance,factor














鼻咽癌,放疗,鼻窦炎,12,内镜,随访,并发症,手术,患者,2000
边缘,图像,异源,粗大,像素点,灰度,方法,归一化,检测,合力
微泡,靶向,单克隆,抗体,静电,黑色素瘤,吸附,超声,制备,脂质
放疗,鼻咽癌,颌下腺,移位,口干燥症,23,下区,12,问卷调查,患者
口干燥症,患者,鼻咽癌,放疗,发生率,74.7%,复查,质量,影响,日常生活











萃取,乙烯基,测定,样品,灵敏,目标,高效,化合物,壬基,辛基
THg,MeHg,concentrations,sediment,correlated,total,concentration,mercury,sediments,coastal






















花岗闪,化带,斑岩,钾长,10,钾长石,流体,细脉,34S,辉钼矿
花岗岩,天河石,孔洞,充填,岩浆,黄玉,晚期,过渡阶段,热液,萤石

矿床,硫化物,马山,扬子,成矿,带中,洋壳,金铜,喷流,表明



RP,gels,supramolecular,activity,gelators,UV,irradiation,remained,formed,assembly



floral,petals,mutant,wps1,organ,identity,late,developmental,stages,development




AML,CR,rate,OS,DFS,months,0.01,0.05,efficacy,Chinese
















temperature,precipitation,change,process,Tarim,River,50,time,series,increasing

annual,runoff,time,2005,process,trend,scale,period,1958,fractal




















积炭,HTFC,水蒸汽,甲烷,重整,DIR,催化剂,活性,失活,水碳






频移,散射光,应变,微波,分量,数值,功率,频率,信号,温度











































































CTP,synthase,cytoophidia,glutamine,cytoophidium,cells,DON,compartmentalized,including,human







胃镜,空肠,放置,肠管,营养,鼻胃,胃管,方法,胃腔,11
GNs,Cys,CYS,金壳,修饰,巯基,MSA,核壳,胶体溶液,电子显微镜
病灶,切除,活检,EMR,cm,病理,平坦,28,0%,隆起
































天然,Diels,Alder,产物,反应,合成,加合物,仿生,综述,有机化学
真实性,病案,检查,1.1,检诊,建全,科内,查体,危重病,内容
GP,血小板,HLA,抗体,糖蛋白,单克隆,临床,检测线,层析技术,HPA
抗体,血型,Miltenberger,临床,漏检,Mur,导致,溶血,东南亚地区,筛查



应力,疲劳,寿命,水平,交变,稳态,降低,叶片,设计,叶轮
叶轮,应力,超速,加载,分析,强度,热点,有限元,von,Mises






























挥发油,顺式,单萜,倍半萜,罗勒,0.16,5.00,抗菌,结果表明,浓度












































非格,蛋白质,算法,HPNX,进化,模型,三维,策略,折叠,1RPB
属性,依赖度,决策分析,胶合板,数据挖掘,粗糙集,缺陷,挖掘出,检测,数据



sedimentary,facies,layer,USH,low,lying,main,Daleel,field,carbonatite
























































uranium,10,fractions,238,0.4,dissolved,53,particulate,size,mass












珠光体,铁素体,钢板,组织,偏析,条带,含量,带状,电子探针,低合金钢
冲击韧性,带状,裂纹,夹杂,硫化物,横向,组织,扫描电镜,低合金钢,处形


























Zn0.81,Mg0.19,掺杂,ZnO,薄膜,带隙,醋酸,光学,电学,紫外












































肝癌,移植性,Vx2,20,DSA,组植瘤,成活率,改良,模型,影像



peptide,CS,bone,formation,derived,0.4,0.1,osteoinductive,ectopicly,osteogenic
Ti,HA,prosthetic,coating,bone,joint,components,plasma,sprayed,pure











产量,果枝,总铃数,铃重,中下游,缩短,长度,衣分,棉花,株型









沉积物,含量,管道,重金属,服务区,相对,功能区,小区,密度,不同

SBR,硝化,2O,速度,去除率,--,碳源,反应器,释放,因子
吸附,凹凸棒石,氢氧化物,PNCM,初始,吸附剂,纳米,复合材料,PNCMI,min
TBBPA,硝化,去除率,去除,过程,工艺,吸附,阻燃剂,周期,典型
去除,TP,速率,硝化,去除率,进水,COD,BOD,厌氧池,缺氧












































颗粒,纳米,PTMP,PVP,T2,造影剂,氧化铁,体内,结果表明,磁性


丙烯酰胺,反应,聚乙烯,加料,制备,回收,溶液,循环,加入,Hofmann








地壳,华北,地震,克拉通,构造,地幔,深部,低速,层析成像,孕震
prolifera,cells,developed,growth,gametes,gamete,cell,primordial,algal,temperature

cDNA,gene,library,sequence,LjTPS,clones,japonica,574,expressed,screened
cultivation,gametophytes,growth,mol,2s,costata,China,10,days,vegetative
HD,CR,染色,段组,痉挛,神经节,对照组,组织化学,免疫,诊断








































筛片,种子,精选,风筛,mm,粒径,加工,孔径,比为,粳稻
白化,46,云丰,88,审定,不育,标记,云南省,配合力,突变体
不育,白化,叶色,苗期,标记,配合力,300,Gy,60Co,32B













房颤,消融,消融术,肺静脉,导管,治疗,心脏,心房,98,mm
导联,时限,心电图,QRS,室早,12,aVL,QS,消融,两组




































pursuer,convoy,LOS,guidance,laws,pursuit,successive,pursuers,angle,proposed
time,linear,discrete,systems,continuous,solution,Riccati,equation,paper,concerned
control,robust,model,predictive,linear,systems,paper,concerned,continuous,uncertain



路网,通达,都市,空间,发育,等级,轴线,性圈,高等级,武汉
城市群,边界地区,信阳市,相互作用,边界,介入,效应,发展,主导,模型
产业,区域,城市,武汉,武汉市,制造业,1949,1994,发展,创新
个体,理性,博弈,饮水,单独,治理,集体,农村,为例,行动
饮水,农村,安全,困境,要素,异质性,为例,各子,特征,外部性
优势,竞争,武汉市,制造业,高新技术,产业,结构,发展潜力,较弱,增长速度
节点,分布,紧密度,空间,集聚,系数,圈层,网络,重要性,可达性
分异,耦合,资源,环境,社会,协调,结构,演进,经济,都市
Economic,Geography,地理学,地理,政法大学,Journal,中具,绿树成荫,学术刊物,翘楚
生态,区域,产业,空间,种群,演化,借鉴,构建,发展,优化







hm2,82,审定,增产,对照,夏大豆,含量,有性杂交,区域试验,产量

























































LMCS,MWNT,MWNTs,carbon,molecular,Covalent,modification,shortened,multiwalled,nanotubes
tumor,grade,creatine,brain,HRMAS,1H,astrocytomas,IV,inositol,data












凋亡,线粒体,膜电位,巨噬细胞,小鼠,细胞,腹腔,量子,剂量,流式细胞

反应器,光纤,降解,固定床,SOF,95%,二氧化钛,基体,苯酚,弥散




































分享,收益,供应链,比例,最优,协调,合同,产量,成员,但此


退货,处理速度,物流,第三方,企业,最优,制造商,协调,逝品,排队模型

投入,知识,领导者,投入量,合作,资金,研究,跟随者,同时,情况
变质,因子,系数,变大而,采购,变动,服务水平,保管,时间,物品















有解,矩阵,同维数,箭形,问题,向量,给定,求解,对称,给出














纤维素,化学,制备,现状,化学合成,综述,研究,课题,细菌,原材料
CPP,BPO,AA,黏剂,改性,反应时间,反应,温度,二苯,甲酰
对苯二甲,芳香醛,二甲酯,环合,解制,酰肼,IR,1HNMR,MS,乙酸酐
胶乳,苯丙,改性,乳液,天然,50,预处理,甲基丙烯酸酯,胶膜,乳液聚合
聚合物,植物油,合成,47,研究进展,石油,介绍,环氧树脂,该文,代用品
苯甲酰基,三氯氧磷,甲酰,制得,氧苯酰肼,二唑,1H,NMR,IR,MS
芳香醛,氧苯,甲酰,2a,2i,乙酰基,1.3,口恶,二唑啉,3a
成膜,胶粘剂,对水,乳型,水乳型,综述,过程,开发,领域,理论
改性,研究进展,助剂,聚丙烯,填充,等离子体,物理,增强,介绍,方向
阻燃剂,阻燃,清漆,添加,复合,基料,氨基树脂,7%,10%,刷涂时
4a,4h,氯苯,甲酰,与芳醛,3a,3h,IR,1H,NMR
EFs,burning,conditions,pPAHs,nPAHs,oPAHs,factors,PAHs,measured,stove
































算法,范数,Frobenius,矩阵,方程,最小,舍入,AXB,CXD,X0

四元,二乘,矩阵,最小,范数,算例,算法,代数,有效性,问题












water,trans,compounds,cis,10,geosmin,MIB,samples,TCA,nonadienal

10,轮状病毒,100%,样品,再生,处理工艺,暴露,出水,水回用,风险

















基因,表达,差异,荚果,叶片,汕油,523,花生,下调,上调









采石场,生态,重建,植被,改进,复绿,问题,单一性,植物,任意性
阳离子,含量,交换,马尾松,森林土壤,土壤,Al3,Ca2,Mg2,显著
吸存,沉降,森林,生态系统,地上,部分,研究,影响,增加,地下

动物群落,植被,混林,土壤,类型,显著,土层,指标,马占林,05
多样性,沉降,森林,生物,植物,土壤,草食动物,影响,隐花,动物
